Athlete_ID,Athlete_Name,Gender,Age,Country,Country_Code,Sport,Event,Olympic_Year,Medal,Height_cm,Weight_kg,Team,Coach,Participation_Status,Has_Medal
1018,David Smith,Male,35,China,CHN,Athletics,100M,2016,Silver,153.0,65.0,Team B,Coach C,Participated,1
1019,Aarav Smith,Female,32,Canada,CAN,Athletics,100M,2016,No Medal,170.0,84.0,Team C,Coach E,Participated,0
1020,Sophia Singh,Male,28,China,CHN,Wrestling,Greco-Roman,2020,No Medal,154.0,87.0,Team B,Coach C,Participated,0
1021,Ishaan Khan,Female,33,Japan,JPN,Badminton,Doubles,2024,No Medal,160.0,87.0,Team B,Coach C,Participated,0
1022,Chen Singh,Male,32,Germany,GER,Gymnastics,Floor,2016,Gold,195.0,46.0,Team A,Coach A,Participated,1
1023,Ananya Brown,Female,22,India,IND,Boxing,Heavyweight,2020,No Medal,177.0,99.0,Team A,Coach C,Participated,0
1024,Arjun Brown,Male,18,China,CHN,Athletics,Marathon,2024,No Medal,190.0,50.0,Team A,Coach C,Participated,0
1025,Vihaan Wilson,Male,25,Australia,AUS,Hockey,Women,2020,No Medal,157.0,55.0,Team D,Coach E,Participated,0
1026,Emma Sharma,Female,18,Germany,GER,Badminton,Doubles,2012,No Medal,151.0,91.0,Team D,Coach D,Participated,0
1027,Riya Patel,Male,28,Canada,CAN,Hockey,Women,2016,No Medal,162.0,98.0,Team A,Coach A,Participated,0
1028,Sophia Wilson,Male,27,China,CHN,Boxing,Heavyweight,2020,Gold,188.0,60.0,Team C,Coach C,Participated,1
1029,Liam Patel,Male,29,Japan,JPN,Hockey,Women,2012,Gold,161.0,45.0,Team A,Coach C,Participated,1
1030,Sophia Sharma,Female,27,France,FRA,Swimming,100M Freestyle,2020,No Medal,169.0,85.0,Team D,Coach B,Participated,0
1031,Yuki Khan,Male,34,India,IND,Boxing,Lightweight,2012,Gold,158.0,78.0,Team A,Coach A,Participated,1
1032,Lucas Wilson,Male,19,United States,USA,Badminton,Doubles,2012,Gold,190.0,46.0,Team A,Coach D,Participated,1
1033,Riya Patel,Male,32,Australia,AUS,Boxing,Lightweight,2012,Bronze,181.0,99.0,Team B,Coach C,Participated,1
1034,Aarav Singh,Female,19,United Kingdom,GBR,Boxing,Heavyweight,2024,No Medal,181.0,62.0,Team D,Coach D,Participated,0
1035,Ava Sharma,Male,27,Australia,AUS,Swimming,100M Freestyle,2016,No Medal,179.0,49.0,Team A,Coach E,Participated,0
1036,Olivia Lee,Female,37,Canada,CAN,Swimming,100M Freestyle,2024,Bronze,190.0,77.0,Team A,Coach B,Participated,1
1037,Neha Khan,Female,29,Brazil,BRA,Athletics,200M,2012,No Medal,174.0,65.0,Team B,Coach A,Participated,0
1038,Sophia Kim,Female,20,Germany,GER,Boxing,Heavyweight,2016,Gold,173.0,72.0,Team B,Coach C,Participated,1
1039,Mia Sharma,Male,30,Japan,JPN,Cycling,Track Sprint,2020,No Medal,185.0,80.0,Team D,Coach A,Participated,0
1040,Noah Brown,Female,27,China,CHN,Hockey,Men,2024,No Medal,166.0,92.0,Team A,Coach B,Participated,0
1041,Ava Wilson,Male,25,Japan,JPN,Badminton,Singles,2016,No Medal,178.0,66.0,Team C,Coach E,Participated,0
1042,Sara Patel,Female,18,Japan,JPN,Swimming,200M Butterfly,2012,No Medal,197.0,100.0,Team D,Coach C,Participated,0
1043,Yuki Patel,Male,20,China,CHN,Tennis,Doubles,2016,No Medal,167.0,60.0,Team A,Coach D,Participated,0
1044,Yuki Singh,Female,32,India,IND,Shooting,25M Pistol,2012,Gold,165.0,95.0,Team A,Coach A,Participated,1
1045,Liam Lee,Male,26,United Kingdom,GBR,Badminton,Singles,2024,No Medal,183.0,85.0,Team C,Coach B,Participated,0
1046,Lucas Brown,Female,28,India,IND,Tennis,Singles,2020,No Medal,191.0,98.0,Team A,Coach A,Participated,0
1047,Kabir Khan,Male,29,France,FRA,Wrestling,Greco-Roman,2012,Silver,164.0,76.0,Team C,Coach E,Participated,1
1048,Liam Patel,Male,25,Brazil,BRA,Swimming,100M Freestyle,2016,No Medal,179.0,59.0,Team D,Coach D,Participated,0
1049,Vihaan Patel,Female,18,China,CHN,Athletics,Marathon,2012,No Medal,188.0,54.0,Team A,Coach B,Participated,0
1050,Yuki Singh,Male,19,China,CHN,Gymnastics,Floor,2012,No Medal,169.0,87.0,Team A,Coach C,Participated,0
1051,Ishaan Wilson,Female,24,France,FRA,Swimming,200M Butterfly,2016,No Medal,174.0,67.0,Team C,Coach E,Participated,0
1052,Ava Sharma,Male,31,Germany,GER,Shooting,10M Air Rifle,2020,No Medal,165.0,96.0,Team B,Coach A,Participated,0
1053,David Sharma,Male,26,Germany,GER,Tennis,Doubles,2012,Bronze,197.0,90.0,Team B,Coach A,Participated,1
1054,Mia Singh,Male,22,France,FRA,Shooting,25M Pistol,2016,No Medal,176.0,56.0,Team C,Coach C,Participated,0
1055,Riya Khan,Female,23,United Kingdom,GBR,Shooting,25M Pistol,2012,Gold,165.0,71.0,Team A,Coach C,Participated,1
1056,Ava Singh,Male,23,Japan,JPN,Tennis,Singles,2020,Silver,164.0,53.0,Team C,Coach C,Participated,1
1057,Emma Patel,Female,32,Germany,GER,Tennis,Doubles,2012,Bronze,165.0,56.0,Team D,Coach C,Participated,1
1058,Vihaan Smith,Male,18,United States,USA,Wrestling,Freestyle,2012,No Medal,180.0,97.0,Team A,Coach B,Participated,0
1059,Ananya Singh,Female,37,United States,USA,Tennis,Singles,2016,No Medal,166.0,94.0,Team A,Coach C,Participated,0
1060,Emma Sharma,Female,37,India,IND,Gymnastics,Floor,2016,Bronze,196.0,86.0,Team C,Coach A,Participated,1
1061,Arjun Khan,Female,21,Brazil,BRA,Wrestling,Freestyle,2020,No Medal,200.0,70.0,Team D,Coach C,Participated,0
1062,Sara Garcia,Female,31,India,IND,Boxing,Heavyweight,2016,No Medal,176.0,46.0,Team A,Coach D,Participated,0
1063,Sophia Kim,Female,29,United States,USA,Badminton,Doubles,2012,No Medal,179.0,71.0,Team C,Coach E,Participated,0
1064,Yuki Lee,Male,20,Germany,GER,Badminton,Singles,2012,Bronze,156.0,69.0,Team D,Coach C,Participated,1
1065,David Lee,Male,25,France,FRA,Athletics,Marathon,2024,Silver,189.0,70.0,Team B,Coach D,Participated,1
1066,Riya Sharma,Female,35,China,CHN,Gymnastics,Floor,2024,Bronze,198.0,88.0,Team C,Coach E,Participated,1
1067,Lucas Wilson,Female,32,France,FRA,Wrestling,Greco-Roman,2016,No Medal,176.0,46.0,Team D,Coach D,Participated,0
1068,Olivia Smith,Female,32,China,CHN,Swimming,100M Freestyle,2012,No Medal,182.0,77.0,Team A,Coach E,Participated,0
1069,David Smith,Male,24,India,IND,Cycling,Road Race,2012,No Medal,158.0,76.0,Team C,Coach E,Participated,0
1070,Emma Singh,Male,22,Germany,GER,Boxing,Lightweight,2020,No Medal,166.0,77.0,Team C,Coach A,Participated,0
1071,Emma Garcia,Female,30,France,FRA,Wrestling,Freestyle,2024,Silver,160.0,95.0,Team A,Coach C,Participated,1
1072,Olivia Kim,Male,22,Germany,GER,Hockey,Women,2020,Bronze,173.0,66.0,Team C,Coach C,Participated,1
1073,Kabir Lee,Male,27,India,IND,Tennis,Doubles,2012,No Medal,189.0,85.0,Team A,Coach A,Participated,0
1074,Yuki Garcia,Female,35,Germany,GER,Athletics,Marathon,2016,No Medal,164.0,71.0,Team B,Coach A,Participated,0
1075,Neha Brown,Female,30,Brazil,BRA,Wrestling,Freestyle,2024,Silver,166.0,45.0,Team B,Coach B,Participated,1
1076,Sophia Lee,Male,25,India,IND,Athletics,100M,2016,No Medal,160.0,48.0,Team D,Coach B,Participated,0
1077,Liam Smith,Female,27,United Kingdom,GBR,Hockey,Women,2024,Silver,190.0,48.0,Team D,Coach A,Participated,1
1078,Emma Patel,Male,19,Japan,JPN,Shooting,10M Air Rifle,2020,No Medal,157.0,66.0,Team D,Coach E,Participated,0
1079,Yuki Sharma,Male,23,Japan,JPN,Boxing,Heavyweight,2024,Silver,166.0,60.0,Team C,Coach E,Participated,1
1080,Yuki Sharma,Male,18,Canada,CAN,Wrestling,Greco-Roman,2016,No Medal,177.0,91.0,Team B,Coach A,Participated,0
1081,Ananya Garcia,Male,22,United States,USA,Athletics,100M,2012,No Medal,194.0,46.0,Team A,Coach E,Participated,0
1082,Arjun Khan,Male,21,Canada,CAN,Gymnastics,Floor,2020,No Medal,165.0,58.0,Team D,Coach A,Participated,0
1083,Noah Khan,Female,26,Japan,JPN,Badminton,Singles,2024,Bronze,151.0,67.0,Team C,Coach E,Participated,1
1084,Ishaan Garcia,Female,33,India,IND,Athletics,200M,2016,No Medal,195.0,48.0,Team D,Coach A,Participated,0
1085,Vihaan Sharma,Female,29,Australia,AUS,Hockey,Men,2020,No Medal,181.0,51.0,Team B,Coach C,Participated,0
1086,Arjun Singh,Male,35,Brazil,BRA,Wrestling,Freestyle,2024,Silver,200.0,51.0,Team A,Coach C,Participated,1
1087,Chen Wilson,Male,23,Australia,AUS,Wrestling,Greco-Roman,2020,No Medal,174.0,85.0,Team C,Coach E,Participated,0
1088,Ananya Singh,Male,32,Canada,CAN,Badminton,Doubles,2016,No Medal,194.0,94.0,Team C,Coach C,Participated,0
1089,Noah Kim,Male,34,China,CHN,Tennis,Singles,2016,No Medal,172.0,55.0,Team A,Coach B,Participated,0
1090,Liam Khan,Male,26,China,CHN,Cycling,Road Race,2012,No Medal,162.0,51.0,Team D,Coach D,Participated,0
1091,Emma Kim,Female,30,Brazil,BRA,Wrestling,Greco-Roman,2016,Gold,150.0,92.0,Team B,Coach B,Participated,1
1092,Ishaan Khan,Female,25,France,FRA,Swimming,200M Butterfly,2012,No Medal,200.0,70.0,Team D,Coach E,Participated,0
1093,Ava Smith,Female,19,India,IND,Badminton,Doubles,2012,No Medal,166.0,79.0,Team D,Coach E,Participated,0
1094,Olivia Wilson,Male,28,Canada,CAN,Wrestling,Greco-Roman,2020,Gold,176.0,92.0,Team A,Coach C,Participated,1
1095,Arjun Khan,Female,31,France,FRA,Boxing,Heavyweight,2016,Gold,190.0,89.0,Team D,Coach D,Participated,1
1096,Arjun Patel,Female,33,China,CHN,Wrestling,Freestyle,2024,No Medal,191.0,80.0,Team C,Coach E,Participated,0
1097,Kabir Brown,Female,30,Germany,GER,Badminton,Doubles,2020,No Medal,193.0,61.0,Team B,Coach C,Participated,0
1098,Arjun Garcia,Male,22,Brazil,BRA,Gymnastics,Vault,2020,No Medal,169.0,99.0,Team A,Coach A,Participated,0
1099,Ishaan Kim,Male,22,Australia,AUS,Wrestling,Freestyle,2012,Bronze,164.0,56.0,Team C,Coach B,Participated,1
1100,Lucas Smith,Female,35,Canada,CAN,Shooting,10M Air Rifle,2024,Gold,157.0,61.0,Team B,Coach D,Participated,1
1101,Aarav Lee,Female,28,China,CHN,Wrestling,Greco-Roman,2012,No Medal,179.0,89.0,Team B,Coach C,Participated,0
1102,Noah Smith,Male,34,United Kingdom,GBR,Athletics,100M,2020,Gold,180.0,76.0,Team A,Coach C,Participated,1
1103,Riya Brown,Female,31,Canada,CAN,Gymnastics,Vault,2024,No Medal,171.0,72.0,Team C,Coach E,Participated,0
1104,Ishaan Garcia,Male,24,Japan,JPN,Boxing,Heavyweight,2024,No Medal,170.0,90.0,Team D,Coach E,Participated,0
1105,Aarav Sharma,Female,24,France,FRA,Tennis,Singles,2016,No Medal,180.0,83.0,Team A,Coach B,Participated,0
1106,Ananya Smith,Male,23,Brazil,BRA,Athletics,Marathon,2020,No Medal,152.0,71.0,Team C,Coach C,Participated,0
1107,Mia Kim,Female,36,India,IND,Badminton,Doubles,2024,No Medal,153.0,76.0,Team A,Coach A,Participated,0
1108,Chen Smith,Male,20,Brazil,BRA,Cycling,Road Race,2012,Gold,191.0,75.0,Team B,Coach A,Participated,1
1109,Sara Patel,Male,32,India,IND,Badminton,Doubles,2012,Bronze,196.0,92.0,Team C,Coach E,Participated,1
1110,Vihaan Sharma,Female,18,Australia,AUS,Shooting,25M Pistol,2016,No Medal,153.0,45.0,Team D,Coach E,Participated,0
1111,Lucas Singh,Female,23,Germany,GER,Athletics,200M,2024,No Medal,159.0,96.0,Team D,Coach C,Participated,0
1112,David Kim,Female,28,Australia,AUS,Tennis,Doubles,2016,Bronze,188.0,91.0,Team D,Coach D,Participated,1
1113,Aarav Garcia,Female,26,Brazil,BRA,Cycling,Road Race,2016,Bronze,167.0,72.0,Team B,Coach C,Participated,1
1114,Chen Wilson,Male,33,Germany,GER,Hockey,Women,2024,No Medal,174.0,57.0,Team D,Coach B,Participated,0
1115,Arjun Wilson,Female,29,France,FRA,Boxing,Lightweight,2024,No Medal,199.0,49.0,Team B,Coach B,Participated,0
1116,Liam Garcia,Female,36,United States,USA,Wrestling,Freestyle,2020,Bronze,186.0,67.0,Team A,Coach C,Participated,1
1117,Aarav Garcia,Female,26,China,CHN,Shooting,10M Air Rifle,2016,No Medal,176.0,83.0,Team C,Coach C,Participated,0
1118,David Lee,Female,26,Brazil,BRA,Cycling,Road Race,2024,No Medal,152.0,66.0,Team D,Coach A,Participated,0
1119,Arjun Brown,Female,28,United States,USA,Tennis,Doubles,2016,No Medal,186.0,59.0,Team C,Coach B,Participated,0
1120,Olivia Sharma,Female,35,India,IND,Wrestling,Freestyle,2012,No Medal,151.0,98.0,Team A,Coach B,Participated,0
1121,Liam Kim,Female,36,Japan,JPN,Gymnastics,Floor,2024,No Medal,178.0,93.0,Team D,Coach B,Participated,0
1122,Aarav Singh,Male,24,China,CHN,Shooting,10M Air Rifle,2024,No Medal,152.0,55.0,Team A,Coach D,Participated,0
1123,Noah Garcia,Female,25,United States,USA,Athletics,Marathon,2016,No Medal,180.0,52.0,Team D,Coach B,Participated,0
1124,Aarav Brown,Female,36,France,FRA,Boxing,Heavyweight,2012,Bronze,168.0,66.0,Team B,Coach E,Participated,1
1125,Liam Smith,Male,26,Japan,JPN,Athletics,Marathon,2012,No Medal,198.0,57.0,Team D,Coach C,Participated,0
1126,Liam Lee,Female,18,India,IND,Cycling,Road Race,2016,No Medal,178.0,96.0,Team C,Coach D,Participated,0
1127,Ananya Lee,Female,23,Japan,JPN,Athletics,200M,2020,Bronze,183.0,94.0,Team B,Coach B,Participated,1
1128,Aarav Smith,Female,34,United Kingdom,GBR,Badminton,Singles,2012,No Medal,176.0,98.0,Team A,Coach D,Participated,0
1129,Sara Garcia,Female,19,Australia,AUS,Shooting,10M Air Rifle,2012,Bronze,160.0,89.0,Team A,Coach C,Participated,1
1130,Vihaan Brown,Male,21,France,FRA,Wrestling,Greco-Roman,2012,No Medal,196.0,71.0,Team B,Coach E,Participated,0
1131,Chen Sharma,Female,18,United States,USA,Badminton,Singles,2016,No Medal,156.0,89.0,Team D,Coach A,Participated,0
1132,Ishaan Singh,Male,33,China,CHN,Gymnastics,Floor,2016,Gold,187.0,77.0,Team B,Coach E,Participated,1
1133,Aarav Khan,Female,31,China,CHN,Shooting,25M Pistol,2020,No Medal,188.0,98.0,Team D,Coach B,Participated,0
1134,Noah Khan,Female,35,United Kingdom,GBR,Gymnastics,Vault,2012,No Medal,153.0,65.0,Team C,Coach A,Participated,0
1135,Riya Wilson,Male,18,United States,USA,Hockey,Men,2012,No Medal,164.0,53.0,Team A,Coach E,Participated,0
1136,Vihaan Kim,Female,21,Canada,CAN,Boxing,Heavyweight,2020,No Medal,166.0,52.0,Team B,Coach A,Participated,0
1137,Arjun Singh,Female,36,Canada,CAN,Athletics,Marathon,2020,No Medal,184.0,54.0,Team B,Coach A,Participated,0
1138,Sara Patel,Female,30,Brazil,BRA,Hockey,Women,2020,No Medal,162.0,80.0,Team A,Coach B,Participated,0
1139,Sophia Kim,Female,30,Japan,JPN,Gymnastics,Floor,2020,No Medal,150.0,67.0,Team B,Coach C,Participated,0
1140,David Garcia,Male,32,China,CHN,Athletics,100M,2016,No Medal,192.0,48.0,Team D,Coach C,Participated,0
1141,Emma Wilson,Male,21,Japan,JPN,Gymnastics,Floor,2024,No Medal,197.0,99.0,Team A,Coach A,Participated,0
1142,Sara Lee,Female,31,Brazil,BRA,Cycling,Road Race,2020,No Medal,200.0,62.0,Team C,Coach C,Participated,0
1143,Sophia Garcia,Female,18,Canada,CAN,Gymnastics,Vault,2016,No Medal,200.0,92.0,Team D,Coach E,Participated,0
1144,Noah Garcia,Male,37,United States,USA,Cycling,Road Race,2020,Gold,165.0,65.0,Team D,Coach C,Participated,1
1145,Mia Wilson,Female,34,Canada,CAN,Hockey,Women,2012,No Medal,196.0,88.0,Team A,Coach E,Participated,0
1146,Sophia Wilson,Female,36,France,FRA,Wrestling,Freestyle,2012,No Medal,159.0,57.0,Team B,Coach C,Participated,0
1147,Yuki Lee,Female,21,United States,USA,Gymnastics,Vault,2016,No Medal,191.0,63.0,Team C,Coach E,Participated,0
1148,Sara Kim,Male,21,France,FRA,Wrestling,Freestyle,2020,Bronze,172.0,81.0,Team A,Coach C,Participated,1
1149,Aarav Patel,Male,23,United Kingdom,GBR,Cycling,Road Race,2016,Gold,181.0,94.0,Team D,Coach E,Participated,1
1150,Yuki Smith,Male,18,China,CHN,Swimming,100M Freestyle,2012,No Medal,156.0,49.0,Team C,Coach B,Participated,0
1151,Emma Smith,Female,36,Australia,AUS,Wrestling,Greco-Roman,2012,Silver,154.0,67.0,Team D,Coach A,Participated,1
1152,Ananya Kim,Female,23,Japan,JPN,Tennis,Singles,2012,Bronze,170.0,45.0,Team B,Coach D,Participated,1
1153,Ava Sharma,Female,25,France,FRA,Tennis,Singles,2020,No Medal,155.0,56.0,Team A,Coach C,Participated,0
1154,Arjun Smith,Male,31,Germany,GER,Hockey,Women,2020,No Medal,172.0,80.0,Team A,Coach C,Participated,0
1155,Emma Wilson,Male,22,China,CHN,Badminton,Singles,2024,Silver,185.0,73.0,Team D,Coach E,Participated,1
1156,Kabir Singh,Female,22,Brazil,BRA,Wrestling,Greco-Roman,2016,No Medal,195.0,61.0,Team B,Coach A,Participated,0
1157,Sophia Sharma,Male,36,Canada,CAN,Hockey,Men,2020,No Medal,176.0,64.0,Team B,Coach A,Participated,0
1158,Riya Smith,Female,27,Canada,CAN,Swimming,200M Butterfly,2016,No Medal,155.0,59.0,Team C,Coach B,Participated,0
1159,Aarav Singh,Male,25,Germany,GER,Athletics,200M,2012,No Medal,175.0,67.0,Team D,Coach A,Participated,0
1160,Liam Lee,Male,30,France,FRA,Tennis,Singles,2024,Bronze,197.0,47.0,Team C,Coach D,Participated,1
1161,Liam Sharma,Male,36,India,IND,Tennis,Doubles,2020,Silver,188.0,89.0,Team A,Coach D,Participated,1
1162,Olivia Khan,Male,32,Australia,AUS,Cycling,Road Race,2016,No Medal,171.0,89.0,Team D,Coach E,Participated,0
1163,Chen Brown,Male,23,Japan,JPN,Badminton,Doubles,2016,Gold,184.0,55.0,Team C,Coach C,Participated,1
1164,Neha Lee,Female,33,Japan,JPN,Cycling,Road Race,2020,No Medal,192.0,75.0,Team B,Coach B,Participated,0
1165,Ishaan Wilson,Female,31,Germany,GER,Tennis,Singles,2016,No Medal,198.0,55.0,Team A,Coach C,Participated,0
1166,Vihaan Brown,Female,27,Brazil,BRA,Athletics,200M,2020,Bronze,162.0,52.0,Team C,Coach B,Participated,1
1167,Ava Smith,Female,28,India,IND,Hockey,Men,2012,Gold,197.0,81.0,Team C,Coach A,Participated,1
1168,Aarav Sharma,Male,30,Japan,JPN,Boxing,Heavyweight,2012,Gold,159.0,63.0,Team C,Coach E,Participated,1
1169,Olivia Garcia,Male,25,China,CHN,Gymnastics,Vault,2012,No Medal,173.0,53.0,Team D,Coach A,Participated,0
1170,Ananya Brown,Female,37,France,FRA,Wrestling,Greco-Roman,2012,No Medal,187.0,85.0,Team A,Coach D,Participated,0
1171,Aarav Sharma,Female,37,Japan,JPN,Shooting,10M Air Rifle,2020,No Medal,200.0,77.0,Team A,Coach D,Participated,0
1172,Ananya Khan,Female,27,China,CHN,Athletics,Marathon,2024,No Medal,150.0,73.0,Team D,Coach E,Participated,0
1173,Vihaan Garcia,Male,37,United Kingdom,GBR,Badminton,Doubles,2020,No Medal,192.0,64.0,Team C,Coach E,Participated,0
1174,Lucas Smith,Female,22,Japan,JPN,Athletics,100M,2024,No Medal,192.0,82.0,Team C,Coach A,Participated,0
1175,Ishaan Patel,Female,26,Japan,JPN,Wrestling,Freestyle,2016,No Medal,191.0,51.0,Team A,Coach E,Participated,0
1176,Lucas Lee,Male,34,France,FRA,Tennis,Singles,2024,No Medal,185.0,77.0,Team D,Coach E,Participated,0
1177,Arjun Lee,Male,29,United Kingdom,GBR,Badminton,Singles,2024,Gold,199.0,84.0,Team C,Coach A,Participated,1
1178,Riya Kim,Male,21,United States,USA,Badminton,Doubles,2020,No Medal,196.0,100.0,Team A,Coach B,Participated,0
1179,David Garcia,Male,21,Brazil,BRA,Gymnastics,Vault,2020,Gold,172.0,80.0,Team C,Coach B,Participated,1
1180,Aarav Singh,Female,21,United Kingdom,GBR,Shooting,10M Air Rifle,2016,No Medal,154.0,96.0,Team C,Coach E,Participated,0
1181,Neha Singh,Female,34,India,IND,Boxing,Heavyweight,2024,Gold,180.0,100.0,Team B,Coach D,Participated,1
1182,Olivia Garcia,Female,34,United Kingdom,GBR,Cycling,Road Race,2024,No Medal,163.0,64.0,Team C,Coach E,Participated,0
1183,Noah Kim,Male,33,Germany,GER,Shooting,25M Pistol,2016,No Medal,176.0,59.0,Team C,Coach D,Participated,0
1184,Olivia Kim,Male,36,Canada,CAN,Boxing,Lightweight,2016,No Medal,183.0,82.0,Team D,Coach E,Participated,0
1185,Kabir Lee,Female,20,Australia,AUS,Swimming,200M Butterfly,2020,No Medal,169.0,93.0,Team A,Coach C,Participated,0
1186,Kabir Patel,Female,29,Canada,CAN,Gymnastics,Vault,2020,No Medal,159.0,53.0,Team B,Coach E,Participated,0
1187,Emma Kim,Female,35,Australia,AUS,Swimming,100M Freestyle,2020,No Medal,192.0,66.0,Team D,Coach C,Participated,0
1188,Ananya Brown,Male,26,Brazil,BRA,Cycling,Road Race,2024,No Medal,184.0,46.0,Team D,Coach B,Participated,0
1189,Riya Patel,Male,19,Canada,CAN,Tennis,Doubles,2012,No Medal,158.0,83.0,Team B,Coach C,Participated,0
1190,Riya Garcia,Male,28,Germany,GER,Hockey,Men,2024,No Medal,197.0,46.0,Team A,Coach A,Participated,0
1191,Sophia Brown,Female,32,Brazil,BRA,Tennis,Doubles,2016,No Medal,150.0,46.0,Team A,Coach A,Participated,0
1192,Arjun Garcia,Female,29,China,CHN,Badminton,Singles,2016,No Medal,177.0,67.0,Team C,Coach D,Participated,0
1193,Chen Singh,Female,35,Australia,AUS,Athletics,Marathon,2012,Gold,167.0,68.0,Team C,Coach B,Participated,1
1194,David Lee,Female,21,United States,USA,Wrestling,Greco-Roman,2016,No Medal,153.0,79.0,Team B,Coach B,Participated,0
1195,Kabir Singh,Male,33,Germany,GER,Hockey,Men,2012,No Medal,163.0,85.0,Team A,Coach A,Participated,0
1196,Sophia Khan,Male,30,India,IND,Cycling,Track Sprint,2016,Bronze,192.0,85.0,Team C,Coach B,Participated,1
1197,Ava Patel,Male,36,Australia,AUS,Gymnastics,Vault,2020,Bronze,200.0,55.0,Team C,Coach A,Participated,1
1198,Kabir Lee,Male,28,Brazil,BRA,Gymnastics,Floor,2020,No Medal,193.0,84.0,Team A,Coach D,Participated,0
1199,Liam Sharma,Male,21,China,CHN,Badminton,Doubles,2024,No Medal,159.0,45.0,Team D,Coach A,Participated,0
1200,Vihaan Kim,Female,25,France,FRA,Cycling,Track Sprint,2012,No Medal,162.0,71.0,Team A,Coach A,Participated,0
1201,Ava Lee,Male,34,United States,USA,Gymnastics,Floor,2020,Silver,177.0,45.0,Team D,Coach A,Participated,1
1202,Emma Lee,Female,18,Japan,JPN,Gymnastics,Floor,2020,No Medal,166.0,62.0,Team A,Coach C,Participated,0
1203,Chen Garcia,Male,31,Brazil,BRA,Athletics,Marathon,2024,No Medal,197.0,90.0,Team D,Coach D,Participated,0
1204,Emma Kim,Male,30,Japan,JPN,Badminton,Singles,2024,No Medal,165.0,97.0,Team C,Coach D,Participated,0
1205,Aarav Singh,Female,33,Brazil,BRA,Hockey,Women,2020,No Medal,182.0,66.0,Team A,Coach D,Participated,0
1206,Noah Smith,Female,35,United Kingdom,GBR,Hockey,Women,2024,No Medal,192.0,59.0,Team B,Coach B,Participated,0
1207,Ananya Garcia,Male,25,Canada,CAN,Swimming,200M Butterfly,2020,Bronze,193.0,56.0,Team D,Coach C,Participated,1
1208,Emma Khan,Female,21,France,FRA,Cycling,Road Race,2024,Silver,173.0,67.0,Team C,Coach D,Participated,1
1209,Ananya Wilson,Female,22,Brazil,BRA,Swimming,200M Butterfly,2024,No Medal,150.0,88.0,Team C,Coach A,Participated,0
1210,Vihaan Kim,Female,23,India,IND,Hockey,Men,2012,No Medal,169.0,90.0,Team D,Coach A,Participated,0
1211,Liam Kim,Female,29,France,FRA,Wrestling,Freestyle,2024,No Medal,152.0,90.0,Team C,Coach C,Participated,0
1212,David Patel,Female,36,United Kingdom,GBR,Wrestling,Greco-Roman,2024,Silver,173.0,49.0,Team D,Coach D,Participated,1
1213,Lucas Khan,Male,31,United Kingdom,GBR,Athletics,100M,2016,No Medal,180.0,56.0,Team B,Coach D,Participated,0
